id	title	severity	category	kind	type	sweep_class	module_repository	location_count	sample_locations	root_cause	proposed_fix	proposed_verification	disposition_proposal	measurable_target	blocked_on	closing_task	source_rows	hand_verified
G-unproven-checks-04	Per-module compile/functionality/unit challenge trio (RAG, security) has no failure proofs	medium	test-coverage	weak-spot	Bug	unproven-checks	submodules/RAG, submodules/security	6	submodules/RAG/challenges/scripts/rag_compile_challenge.sh | submodules/RAG/challenges/scripts/rag_functionality_challenge.sh | submodules/RAG/challenges/scripts/rag_unit_challenge.sh	the <module>_{compile,functionality,unit}_challenge.sh trio follows one template in both repos and none of the six carries a proof arm; RAG 13f4bac (2026-09-06) already recorded 'the unit gate tested 116 of 143 and called it a pass', i.e. this family has produced a false PASS before	add proof arms per trio member (break the build / a functional assertion / a unit test in a disposable copy, expect rc 1) and an executed-count floor so a partial run cannot pass	RED: baseline lists 6 paths; GREEN: 0 class rows; each proof catches its mutation; a truncated run exits non-zero	open (fix lands in each owned submodule repo)	-	gitlink bumps (operator per-bump decision); security has no roster row yet	T045	6	all members re-checked: 0 proof-arm tokens, no sibling proof file naming them
G-unproven-checks-05	llms_verifier local verify/validate/challenge scripts (12) have no failure proofs	medium	test-coverage	weak-spot	Bug	unproven-checks	submodules/llms_verifier	12	submodules/llms_verifier/llm-verifier/challenges/scripts/run_actual_binary_challenge.sh | submodules/llms_verifier/llm-verifier/challenges/scripts/run_all_providers_challenge.sh | submodules/llms_verifier/llm-verifier/challenges/scripts/run_challenges.sh	the module carries its own run_*_challenge.sh family (5), run_challenges.sh, verify-deployment.sh, security-audit.sh, verify_day1_completion.sh, verify_providerinit_fix.sh and two copies of validate_implementation.sh (root and tests/, different blobs) with no proof convention or registry	triage first (which are gates vs one-shot historical scripts: verify_day1_completion / verify_providerinit_fix look historical — retire only via §11.4.122 operator decision), then add proof arms to the real gates and dedupe the two validate_implementation.sh copies	RED: baseline lists 12 paths; GREEN: 0 class rows (each either proven, or retired by a recorded operator decision); proofs catch mutations	open (fix lands in the owned submodule repo)	-	gitlink bump (operator per-bump decision); llms_verifier has no roster row yet; any removal needs a §11.4.122 operator keep-or-remove decision	T045	12	all members re-checked: 0 proof-arm tokens, no sibling proof file naming them
G-unproven-checks-06	workshop: two gate-like scripts without failure proofs (private module; paths only)	medium	test-coverage	weak-spot	Bug	unproven-checks	workshop (PRIVATE)	2	workshop/pipeline/run_audit.sh | workshop/platform/qa/challenges/answering-challenges.sh	two tracked scripts matching the gate-name heuristic carry no proof arm and no sibling proof; whether pipeline/run_audit.sh is a verdict gate at all is UNCONFIRMED (name-heuristic population; its only in-repo referrers are a doc and a Python helper, neither a proof)	for each: confirm gate or not; gate => add proof arm + register in the workshop's own gate surface; not a gate => record why the heuristic should not flag it (class exemption with reason)	RED: baseline lists 2 paths; GREEN: 0 class rows for them	open (fix lands in the private workshop repo; no private text enters any public record)	-	gitlink bump (operator per-bump decision)	T045	2	all members re-checked: 0 proof-arm tokens, no sibling proof file naming them
G-unproven-checks-07	ai_interviewing: two gate-like scripts without failure proofs (private module; paths only)	medium	test-coverage	weak-spot	Bug	unproven-checks	ai_interviewing (PRIVATE)	2	ai_interviewing/platform/qa/challenges/api-challenges.sh | ai_interviewing/scripts/validate-exports.sh	platform/qa/challenges/api-challenges.sh and scripts/validate-exports.sh carry no proof arm and no sibling proof (validate-exports.sh is referenced only by build-all.sh and verify-standalone-clone.sh, which are not proofs)	add --prove-failure arms (validate-exports: a deliberately corrupted export must fail; api-challenges: a stub server returning a wrong status must fail) and register them in the module's gate surface	RED: baseline lists 2 paths; GREEN: 0 class rows; proofs catch their mutations	open (fix lands in the private ai_interviewing repo)	-	gitlink bump (operator per-bump decision)	T045	2	all members re-checked: 0 proof-arm tokens, no sibling proof file naming them
G-unproven-checks-08	Sweep classes cannot inspect in-tree tracked symlinks (unproven-checks, build-if-missing)	medium	test-coverage	improvement	Task	unproven-checks (also build-if-missing)	umbrella (scripts/zero-gap-class-*.sh)	0 finding rows + 2 COULD-NOT-INSPECT lines	unproven-checks:submodules/qa/scripts/anti-bluff-scan.sh | unproven-checks:- inspected 837 of 838	the classes refuse every non-regular file as COULD-NOT-INSPECT, including a tracked symlink whose target is a regular file inside the same repository (submodules/qa/scripts/anti-bluff-scan.sh -> anti-bluff/bluff-scanner.sh), so population 838 is inspected 837	resolve a tracked symlink whose fully-resolved target stays inside the same repository and report on the target (or report the link as an alias of an already-inspected item); keep out-of-tree and dangling links COULD-NOT-INSPECT	RED: baseline CNI rows unproven-checks:submodules/qa/scripts/anti-bluff-scan.sh (and build-if-missing's twin); GREEN: planted in-tree symlink case inspected, planted out-of-tree and dangling links still CNI, live CNI count for this path 0	open	unproven-checks and build-if-missing report inspected == population on the live tree (0 COULD-NOT-INSPECT lines for in-tree symlinks) with out-of-tree/dangling-link controls still CNI	-	T045	0	all members re-checked: 0 proof-arm tokens, no sibling proof file naming them
G-unregistered-scripts-01	check-registry R5 sweeps scanroots at maxdepth 1, so 9 scripts under _tools/ subdirectories are invisible (declared list stale by 2)	medium	governance-drift	weak-spot	Bug	unregistered-scripts	umbrella (scripts/verify-check-registry.sh, scripts/check-registry.tsv)	9	_tools/containers/compose/jekyll-build.sh | _tools/containers/compose/ocr-run.sh | _tools/gen/build.sh	R5 runs `find <scanroot> -mindepth 1 -maxdepth 1 -name '*.sh'` (verify-check-registry.sh:1041); scanroot `_tools` therefore misses its subdirectories; the registry's own comment declares 'SEVEN' such scripts but 9 exist today (_tools/hawkscan/run.sh and _tools/lib/translation-fleet.sh are missing from that list), so the declared boundary itself drifted	make R5 recurse under each scanroot (or declare every subdirectory as a scanroot, derived not hand-listed), then add a check/debt/exempt row for each of the 9 (e.g. _tools/lib/translation-fleet.sh already has a proof, _tools/prove-translation-fleet.sh); delete the hand list from the comment; add an R5 --prove-failure case with a planted two-level-deep unregistered script	RED: R5 rc 0 today while 9 below-depth scripts are unregistered, and the planted two-level case is missed; GREEN: planted case => R5 rc 1, live R5 rc 0 with all 9 rows present, unregistered-scripts class 0 below-depth rows	open	-	-	T045/T047	9	all members: absent from every check/debt/exempt path; find confirms exactly 9 below-depth _tools scripts
G-unregistered-scripts-02	Tracked executables outside every declared scanroot (_tests/ x6, upstreams/GitHub.sh) have no registry row	medium	test-coverage	weak-spot	Bug	unregistered-scripts	umbrella (scripts/check-registry.tsv)	7	_tests/evidence/fix4docs/retry.sh | _tests/export/build-fixtures.sh | _tests/export/self-validate.sh	the scanroot set (scripts, tests, _tools, _tools/translate, _tools/portfolio, _tools/containers) excludes _tests/ by a recorded deferral ('_tests/ IS STILL NOT SWEPT ... under concurrent edit') and excludes upstreams/; the deferral has no recheck date and the push recipe upstreams/GitHub.sh is not a check but has no exempt row either	declare _tests as a scanroot (recursive per G-unregistered-scripts-01) and add check rows for the 5 validators/proofs (with their paired proofs, e.g. _tests/prove-preflight.sh is itself a proof => exempt-as-proof) and a row for retry.sh; add an exempt row with reason for upstreams/GitHub.sh (push recipe, not a check)	RED: the 7 paths have no row and R5 does not see them; GREEN: R5 enumerates _tests/ and upstreams/ (or the latter is exempt) and the unregistered-scripts class reports 0 rows	open	-	-	T045/T047	7	all members: absent from every check/debt/exempt path; find confirms exactly 9 below-depth _tools scripts
G-untracked-blind-window-01	Four governance audits enumerate with git ls-files only and never see untracked-not-ignored files, without stating the limit	medium	false-evidence	weak-spot	Bug	untracked-blind-window	umbrella (scripts/audit-environment-assumptions.sh, audit-hardcoded-paths.sh, verify-provider-ci.sh, verify-shell-continuations.sh)	4	scripts/audit-environment-assumptions.sh:836 | scripts/audit-hardcoded-paths.sh:433 | scripts/verify-provider-ci.sh:1134	each builds its subject list from `git ls-files` (tracked only) and none mentions untracked files or --others anywhere in its source, so a file written but not yet `git add`-ed is invisible and a green result says nothing about it	enumerate `git ls-files --cached --others --exclude-standard` (or print an explicit 'tracked files only' population line on every run where untracked coverage is deliberately out of scope), with a proof case planting an untracked violating file	RED: in a disposable copy an untracked-not-ignored file carrying a violation is NOT reported by each audit (rc 0); GREEN: the same planted file is reported (rc 1) or the audit prints its declared tracked-only population; untracked-blind-window class 0 rows	open	-	-	T045	4	all 4 lines read; 0 mentions of --others/untracked in each file
G-vacuous-gates-01	zero_findings_sweep uncatalogued detector skips a missing scanroot with `continue` and passes an empty population	high	false-evidence	defect	Bug	vacuous-gates	umbrella (scripts/audit/zero_findings_sweep.sh)	1	scripts/audit/zero_findings_sweep.sh:525	the uncatalogued detector loops over registry scanroots; `[ -d "$ROOT/$d" ] || continue` (line 517 at f05817ba) silently drops a missing scanroot and the find-fed loop (line 525) emits nothing on an empty population, with no rc-2 refusal keyed on items walked	treat a declared-but-absent scanroot as rc 2 (could not determine) and refuse a zero-item walk; add planted cases (missing scanroot, empty scanroot) to the sweep's proof	RED: disposable copy with a scanroot row pointing at a missing directory => detector reports 0 findings / sweep passes; GREEN: same copy => rc 2 naming the scanroot; vacuous-gates class 0 rows for the file	open	-	-	T045	1	lines 517/525 read at f05817ba (file unchanged since)
G-vacuous-gates-02	setup-agents-wizard test suite exits 0 when every case is skipped (verdict ignores executed count)	high	false-evidence	defect	Bug	vacuous-gates	umbrella (scripts/test-setup-agents-wizard.sh)	1	scripts/test-setup-agents-wizard.sh:1543	the verdict is `[[ $FAIL -eq 0 ]] && exit 0 || exit 1` (line 1543); TOTAL counts skips, and no floor on PASS (executed) cases exists, so an all-SKIP run (e.g. every tool absent) exits 0	require PASS > 0 (or PASS >= a declared floor) for rc 0 and return rc 2 when every case skipped; add an all-skip planted case to the suite's registered proof	RED: run with every case forced to SKIP => rc 0; GREEN: same run => rc 2; normal run unchanged rc 0	open	-	-	T045	1	line 1543 and TOTAL/SKIP counters read
G-vacuous-gates-03	Pre-push gates 1 (go test) and 6 (Playwright) cannot be inspected for vacuous passes; gate 1 has no zero-test refusal	medium	false-evidence	weak-spot	Bug	vacuous-gates	umbrella (scripts/pre-push-gates.sh gate_1, gate_6)	0 finding rows + 3 COULD-NOT-INSPECT lines	scripts/pre-push-gates.sh:gate_1 | scripts/pre-push-gates.sh:gate_6 | vacuous-gates:- inspected 60 of 62	the class is a line-based shell analyser and reports both gates COULD-NOT-INSPECT; hand-read: gate_1 is `cd _tools/gen && go test ./...` with no executed-test count, and `go test` exits 0 for packages with no test files (standard toolchain behaviour; not re-run on this tree); gate_6's zero-case handling was not established	gate_1: run `go test -json ./...` and refuse (rc 2) when the count of executed tests is 0; gate_6: assert the Playwright JSON reporter's executed count > 0; give the class a non-shell-gate rule for these two	RED: disposable copy with every *_test.go under _tools/gen removed => gate_1 rc 0; GREEN: same copy => rc 2; the class inspects 62 of 62	open	-	T065 serialisation (pre-push-gates.sh is the push path: T040 -> T041 -> T065 own it)	T045 (after T065 ordering)	0	gate_1 body read (go test ./... only); gate_6 zero-case handling NOT established
G-unsealed-evidence-01	No gate or registered check writes a sealed evidence record (8 pre-push gates, 59 checks, evidence store absent)	high	false-evidence	unfinished-promise	Feature	unsealed-evidence	umbrella (scripts/pre-push-gates.sh run_gate, every registered check runner)	68	check:additive-cutover | check:badge-computer | check:check-registry	`git grep 'zero-gap-evidence.sh record'` finds only the recorder itself and the class; run_gate never calls it and no runner passes --check-id, so .remember/logs/zero-gap/evidence does not exist and every PASS in the tree is unsealed (FR-014/FR-016 promised, T065 planned)	T065: seal every run_gate outcome (timestamp, fingerprints, seal) RED-first with a dry-run push and a documented revert plan; a runner/daily feed (T069) seals each registered check with its literal --check-id	RED: unsealed-evidence class reports 68 rows (baseline); GREEN: class reports 0 for gates, checks and store; `scripts/zero-gap-evidence-chain.sh --verify` rc 0 over the new records	open	-	T040 -> T041 -> T065 serial push-path order; T069 daily job	T065/T069	68	git grep: 0 runner calls to record; store dir absent on live tree; 59 check rows in registry
G-unsealed-evidence-02	Evidence anchor docs/zero-gap/anchor.json absent, so the strict chain verify returns rc 2	medium	false-evidence	unfinished-promise	Feature	unsealed-evidence	umbrella (docs/zero-gap/anchor.json)	1	anchor:docs/zero-gap/anchor.json	the anchor is written per cycle freeze and daily; neither has run yet, so no tracked anchor exists and the forward-only history check has nothing to check	write the first anchor at `gap freeze --cycle 1` (T038) through `continuum-integrity anchor write`, then daily (T069)	RED: `scripts/zero-gap-evidence-chain.sh --verify` rc 2 (anchor absent); GREEN: rc 0 with anchor_strength=policy and entry_count equal to the chain length	open	-	T038 freeze / T069	T038/T069	1	anchor file absent on live tree
G-coverage-gaps-01	Coverage map docs/zero-gap/coverage.tsv absent — the coverage-gaps class cannot inspect anything	medium	test-coverage	unfinished-promise	Feature	coverage-gaps	umbrella (docs/zero-gap/coverage.tsv, scripts/zero-gap-coverage.sh)	0 finding rows + 2 COULD-NOT-INSPECT lines	docs/zero-gap/coverage.tsv | coverage-gaps:- population could not be enumerated	FR-010's module x test-kind matrix has not been generated (T052 not started), so the class population is 0 and both of its lines are COULD-NOT-INSPECT; until then no coverage gap is visible	T052 generator + data, then T053 re-measure every cell; every gap cell then becomes its own cycle-2 item (FR-026 freeze)	RED: coverage-gaps class rc 2 'coverage.tsv absent'; GREEN: class inspects every cell (population > 0, CNI only for could-not-run cells naming the tool)	open	-	T052 (then T053)	T052	0	coverage.tsv absent on live tree
