id	title	type	severity	category	kind	sweep_class	module	location_count	sample_locations	root_cause	proposed_fix	proposed_verification	disposition_proposal	measurable_target	blocked_on	source_rows	dedupe_key_or_also_in	notes
G-doc-count-drift-05	Umbrella specs/** carry unmeasurable recorded counts (32 documents, incl. this feature's own baseline README)	Task	low	docs-drift	weak-spot	doc-count-drift	umbrella (vasic) specs/**	32	figures:specs/001-workshop-curriculum-platform/checklists/requirements.md ; figures:specs/004-authored-ai-areas/plan.md ; figures:specs/010-zero-gap-verified-closure/tasks.md	Counts whose subject no rule of the class noun-to-measure table resolves ("recorded, not drift"): nothing re-measures them. Many sit in dated session reports, plans and evidence files that were true when written.	Per document: (a) a docs/zero-gap/point-in-time.tsv row with the reason from the document header when it is dated; (b) a noun-to-measure rule when the subject is measurable in the tree; (c) otherwise replace the count with its derive command. Fix in the repository that owns the document.	RED: 32 figures:specs/** aggregates. GREEN: 0; baseline and spec records of finished features listed as point-in-time with a reason.	open			32		Includes specs/010-zero-gap-verified-closure/** (6), which is self-referential: every baseline written adds rows here.
G-doc-count-drift-06	workshop documents carry unmeasurable recorded counts (59 documents)	Task	low	docs-drift	weak-spot	doc-count-drift	workshop (PRIVATE submodule)	59	figures:workshop/CLAUDE.md ; figures:workshop/docs/session-evidence/phase3e-r3-decisions-29-32.md ; figures:workshop/docs/work-register.md	Counts whose subject no rule of the class noun-to-measure table resolves ("recorded, not drift"): nothing re-measures them. Many sit in dated session reports, plans and evidence files that were true when written.	Per document: (a) a docs/zero-gap/point-in-time.tsv row with the reason from the document header when it is dated; (b) a noun-to-measure rule when the subject is measurable in the tree; (c) otherwise replace the count with its derive command. Fix in the repository that owns the document.	RED: 59 figures:workshop/** aggregates. GREEN: 0 on the bumped tree.	open		umbrella gitlink bump of workshop (per-bump operator decision)	59		Paths and counts only. Returns via a workshop gitlink bump (operator per-bump decision).
G-doc-count-drift-07	ai_interviewing documents carry unmeasurable recorded counts (53 documents)	Task	low	docs-drift	weak-spot	doc-count-drift	ai_interviewing (PRIVATE submodule)	53	figures:ai_interviewing/docs/improvement-plans/02-helixqa.md ; figures:ai_interviewing/docs/project-deep-dives/03-helixtrack.md ; figures:ai_interviewing/docs/validation-plans/37-atmosphere-android-15.md	Counts whose subject no rule of the class noun-to-measure table resolves ("recorded, not drift"): nothing re-measures them. Many sit in dated session reports, plans and evidence files that were true when written.	Per document: (a) a docs/zero-gap/point-in-time.tsv row with the reason from the document header when it is dated; (b) a noun-to-measure rule when the subject is measurable in the tree; (c) otherwise replace the count with its derive command. Fix in the repository that owns the document.	RED: 53 figures:ai_interviewing/** aggregates. GREEN: 0 on the bumped tree.	open		umbrella gitlink bump of ai_interviewing (per-bump operator decision)	53		Mostly interview-preparation, deep-dive, plan and validation documents: content counts, not governance claims (judgement call J2). Paths and counts only.
G-doc-count-drift-08	submodules/qa documents carry unmeasurable recorded counts (22 documents)	Task	low	docs-drift	weak-spot	doc-count-drift	submodules/qa (owned, HelixDevelopment)	22	figures:submodules/qa/README.md ; figures:submodules/qa/docs/plans/2026-04-18-openclawing2-integration-plan.md ; figures:submodules/qa/docs/upgrade.md	Counts whose subject no rule of the class noun-to-measure table resolves ("recorded, not drift"): nothing re-measures them. Many sit in dated session reports, plans and evidence files that were true when written.	Per document: (a) a docs/zero-gap/point-in-time.tsv row with the reason from the document header when it is dated; (b) a noun-to-measure rule when the subject is measurable in the tree; (c) otherwise replace the count with its derive command. Fix in the repository that owns the document.	RED: 22 figures:submodules/qa/** aggregates. GREEN: 0 on the bumped tree.	open		umbrella gitlink bump of submodules/qa (per-bump operator decision)	22		Its 27 nested third-party gitlinks are NOT in this population.
G-doc-count-drift-09	monetization documents carry unmeasurable recorded counts (5 documents)	Task	low	docs-drift	weak-spot	doc-count-drift	monetization (PRIVATE submodule)	5	figures:monetization/specs/001-monetization-portfolio-analysis/checklists/requirements.md ; figures:monetization/specs/001-monetization-portfolio-analysis/quickstart.md ; figures:monetization/specs/001-monetization-portfolio-analysis/tasks.md	Counts whose subject no rule of the class noun-to-measure table resolves ("recorded, not drift"): nothing re-measures them. Many sit in dated session reports, plans and evidence files that were true when written.	Per document: (a) a docs/zero-gap/point-in-time.tsv row with the reason from the document header when it is dated; (b) a noun-to-measure rule when the subject is measurable in the tree; (c) otherwise replace the count with its derive command. Fix in the repository that owns the document.	RED: 5 figures:monetization/** aggregates. GREEN: 0 on the bumped tree.	open		umbrella gitlink bump of monetization (per-bump operator decision)	5		All 5 under monetization/specs/001-*/. Paths and counts only.
G-doc-count-drift-10	Five small owned modules carry unmeasurable recorded counts (llms_verifier 2, security 2, challenges 1, containers 1, verdict 1)	Task	low	docs-drift	weak-spot	doc-count-drift	submodules/llms_verifier, submodules/security, submodules/challenges, submodules/containers, submodules/verdict	7	figures:submodules/challenges/docs/qa/w1_two_sum_vector_uniqueness_fix_20260711T160538Z/README.md ; figures:submodules/llms_verifier/docs/qa/fallback_models_cache_race_20260711/EVIDENCE.md ; figures:submodules/verdict/README.md	Counts whose subject no rule of the class noun-to-measure table resolves ("recorded, not drift"): nothing re-measures them. Many sit in dated session reports, plans and evidence files that were true when written.	Per document: (a) a docs/zero-gap/point-in-time.tsv row with the reason from the document header when it is dated; (b) a noun-to-measure rule when the subject is measurable in the tree; (c) otherwise replace the count with its derive command. Fix in the repository that owns the document.	RED: 7 aggregates across the five modules. GREEN: 0 after each module's fix and bump.	open		five gitlink bumps (per-bump operator decisions)	7		Grouped by fix mechanism; each module needs its own commit and gitlink bump.
G-pointer-drift-01	Root carriers quote only historical commits of design-toolkit, containers, curriculum-kit and workshop; no current pin	Task	medium	docs-drift	weak-spot	pointer-drift	umbrella (vasic)	4	carrier:CLAUDE.md@design-toolkit ; carrier:CLAUDE.md@submodules/curriculum-kit ; carrier:CLAUDE.md@workshop	Carrier prose cites the gitlink of the day it was written (e.g. "Re-measured at gitlink 7f59225"); the gitlinks moved (4ddc9645d140, 4a8f04e05f35, a57d6f157f18, e076fa6aa26f) and no ledger row asserts a quoted pin.	Drop "current pin" wording in favour of the re-derive command (git ls-files -s <path>), or add a claim-ledger row per quoted current pin; recompose the four carriers once.	RED: 4 carrier:CLAUDE.md@<submodule> findings. GREEN: 0; verify-governance-cascade.sh C5 PASS.	open			4	also in AGENTS.md QWEN.md GEMINI.md (lines 205, 325, 1090, 1481); composes with G-stale-figures-02	Hand-verified: grep -c of each current gitlink prefix in CLAUDE.md = 0.
G-pointer-drift-02	Remote-sync gate never checks pushurls that publish to differently named repositories (milosvasic.ru 2, qa 3)	Task	medium	governance-drift	weak-spot	pointer-drift	umbrella (vasic) scripts/verify-submodule-remote-sync.sh; milosvasic.ru; submodules/qa	5	gitlink:milosvasic.ru@origin:pushurl1 ; gitlink:submodules/qa@origin:pushurl1 ; gitlink:submodules/qa@origin:pushurl3	scripts/verify-submodule-remote-sync.sh compares the gitlink with the origin FETCH URL only; origin also pushes to two other repositories (milosvasic.ru) and three HelixQA repositories (qa). A lagging push target reads CURRENT.	Extend the gate to probe every pushurl (tip vs gitlink, three-valued, network failure = rc 2) with a paired --prove-failure case; or declare the mirrors in helix-deps.yaml and probe them. Do NOT change any remote of milosvasic.ru (live production publish path).	RED: a disposable fixture whose pushurl repository lags reads CURRENT today. GREEN: the gate reports it (rc 1); live run lists 5 pushurl rows with a verdict each.	open			5		rev-base-A minor: qa pushurl2/pushurl3 name the same repository name on two hosts; both are real push targets.
G-pointer-drift-03	submodules/LLMProvider gitlink 4c73c8b0dfc6 behind its remote tip e05ec64ebc48 (fast-forwardable)	Task	medium	governance-drift	weak-spot	pointer-drift	submodules/LLMProvider	4	gitlink:submodules/LLMProvider@github ; gitlink:submodules/LLMProvider@origin ; gitlink:submodules/LLMProvider@upstream	Owned gitlink not bumped after upstream commits; 4 remotes (github, gitlab, origin, upstream) show the same tip.	Operator decides per bump: fast-forward (merge --ff-only, stage gitlink and helix-deps.yaml ref together) or hold.	RED: pointer-drift 4 BEHIND rows; verify-submodule-remote-sync.sh BEHIND. GREEN after a bump: CURRENT, verify-manifest-pins.sh MATCH. If held: the classification recheck date re-runs the probe.	classified: operator-decision (per-bump; the standing authorization covers submodules/constitution only)		operator per-bump decision. Options: bump now (cost: consumers of the module rebuilt/re-tested) / hold (cost: finding recurs in every sweep)	4		Remote-dependent (wire class): goes stale as remotes move.
G-pointer-drift-04	submodules/llm_provider gitlink f29fe2439c81 behind origin e05ec64ebc48	Task	medium	governance-drift	weak-spot	pointer-drift	submodules/llm_provider	1	gitlink:submodules/llm_provider@origin	Owned gitlink not bumped. Observation: HelixDevelopment/LLMProvider and vasic-digital/LLMProvider (submodules/LLMProvider) report the SAME tip e05ec64ebc48; whether two gitlinks of one history are intended is UNCONFIRMED.	Operator decides per bump; separately decide whether both gitlinks should exist (never remove without an explicit operator decision, §11.4.122).	RED: BEHIND row. GREEN: CURRENT after a bump; verify-manifest-pins.sh MATCH.	classified: operator-decision (per-bump)		operator per-bump decision (options: bump / hold) and the duplicate-module question	1		
G-pointer-drift-05	submodules/llms_verifier gitlink 2c6602c78931 behind origin 8f2090acb907	Task	medium	governance-drift	weak-spot	pointer-drift	submodules/llms_verifier	1	gitlink:submodules/llms_verifier@origin	Owned gitlink not bumped.	Operator decides per bump (ff-only; gitlink + helix-deps.yaml ref staged together).	RED: BEHIND row. GREEN: CURRENT after a bump; verify-manifest-pins.sh MATCH.	classified: operator-decision (per-bump)		operator per-bump decision (options: bump / hold)	1		
G-pointer-drift-06	submodules/constitution pin f8afb98ab0eb differs from all 8 remotes (direction undetermined at baseline)	Task	medium	governance-drift	weak-spot	pointer-drift	submodules/constitution (governance source)	8	gitlink:submodules/constitution@gitflic ; gitlink:submodules/constitution@origin ; gitlink:submodules/constitution@vasic_digital_gitlab	The pin went stale again (the carrier records five green-then-red cycles). Baseline remote tip 647f7553533a; re-probed 2026-09-26: origin HEAD now 0ff780dc4e4f.	Under the STANDING AUTHORIZATION of 2026-09-09: fetch inside the submodule, require merge-base --is-ancestor TRUE and 0 divergent, git merge --ff-only, report diff --stat, re-measure Constitution.md on both sides (blob, lines, anchors, bytes, sha256), stage gitlink + helix-deps.yaml ref together, never push. Any divergence: stop and report.	RED: 8 DIFFERS rows; verify-submodule-remote-sync.sh DRIFT on the constitution row. GREEN: CURRENT on every remote that answers; verify-manifest-pins.sh MATCH; post-pull validation sweep run.	open (fixable from here under the standing authorization)		none, unless the fetch shows divergence (then operator decision)	8	one item for 8 remote rows (same pin, same tip)	Recurs by nature: closing it once does not keep it closed. Detector note (rev-docs): 8 remotes give 8 findings for one pin.
G-known-open-decisions-01	Operator decision 2026-09-07 #16 still PENDING in its record, with no execution evidence and no options/cost	Task	medium	governance-drift	unfinished-promise	known-open-decisions	umbrella (vasic) docs/OPERATOR-DECISIONS-2026-09-07.md	1	decision:docs/OPERATOR-DECISIONS-2026-09-07.md:30	The decision record names one action (restart once when writers stop, then commit and push recursively) and status PENDING; nothing records whether it was executed or superseded.	Re-measure: find the commits/restart that executed it and mark DONE with evidence, or mark superseded with the later decision; if genuinely open, record options and cost per FR-009.	RED: known-open-decisions reports decision:docs/OPERATOR-DECISIONS-2026-09-07.md:30. GREEN: the row carries DONE + evidence (not reported) or options+cost.	open (record update is agent work; if the action is still pending it becomes classified: operator-action)			1	no DB item carries this decision (0 Operator-blocked items exist in the register, measured on a read-only copy)	The only real finding of the class in this baseline (precision 1/3).
G-improvement-candidates-01	Decision 2026-09-08 #16 (audit 264 citations of unverified relevance) decided but not executed	Task	medium	data-integrity	unfinished-promise	improvement-candidates	umbrella register item VSC-028; content in workshop (PRIVATE)	2	candidate:docs/OPERATOR-DECISIONS-2026-09-08.md:27 ; candidate:docs/workable_items.db:VSC-028	A decided audit with no execution record; the register item VSC-028 is Queued with no measurable target.	ADOPT the existing item VSC-028 (backfill kind/category/plan_due/measurable_target; no new id); execute the audit in the owning module.	RED: IC reports VSC-028 and the decision row (target MISSING). GREEN: every one of the 264 citations carries a recorded relevance verdict (count from the audit output), VSC-028 closed through gap close.	open (adopt VSC-028 in place)	264 of 264 citations carry a recorded relevance verdict (kept / repaired / depublished)		2	docs/workable_items.db:VSC-028 (dedupes the OPERATOR-DECISIONS-2026-09-08.md:27 row)	
G-improvement-candidates-02	Decision record 2026-09-09: three findings from #12 not yet decided (row repair)	Task	medium	governance-drift	unfinished-promise	improvement-candidates	umbrella (vasic) docs/OPERATOR-DECISIONS-2026-09-09.md; workshop (PRIVATE)	1	candidate:docs/OPERATOR-DECISIONS-2026-09-09.md:461	The record names three undecided findings and says the row repair is a separate operator decision; no options or cost are recorded.	Prepare the decision (options + cost per FR-009) and put it to the operator; the false-green gate part is split into G-improvement-candidates-02b because it is fixable from here.	RED: IC reports the line. GREEN: decision recorded with options/cost and executed or classified.	classified: operator-decision		operator decision on repairing the rows (options: repair / leave with reason)	1		
G-improvement-candidates-02b	workshop verify-plan-coverage-proposal.sh passes without reading the prose it guards (66 vs 49 rows)	Bug	high	false-evidence	defect	improvement-candidates	workshop (PRIVATE) platform/gates/verify-plan-coverage-proposal.sh	0		Per the 2026-09-09 record the gate exits 0 while the proposal prose and the committed JSON disagree, because it never reads the prose (a false-green, §11.4.201). Current state UNCONFIRMED (not re-run this session).	Make the gate read and compare the prose count; paired mutation proof.	RED: re-run the gate on the current workshop tree and show rc 0 with the mismatch present (or record that it is already fixed). GREEN: rc 1 on the mismatch, rc 0 when equal; mutation caught.	open		umbrella gitlink bump of workshop (per-bump operator decision)	0	derived from the same baseline row as G-improvement-candidates-02	DERIVED item: 0 source rows; not in the coverage sum.
G-improvement-candidates-03	Gap store closure gate: six deferred input-validation cases (T008 minors)	Task	medium	security	improvement	improvement-candidates	umbrella (vasic) _tools/workable-items	6	candidate:specs/010-zero-gap-verified-closure/progress.yml:42 ; candidate:specs/010-zero-gap-verified-closure/progress.yml:45 ; candidate:specs/010-zero-gap-verified-closure/progress.yml:47	T008 fix rounds deferred six cases: empty evidence digest stored after a Stat/hash race; future-dated history rows accepted; reviewer on_date unbound; duplicate JSON keys accepted; parallel-close losers exit 2 instead of 1; O_NOFOLLOW only on the final component (parent swap).	One hardening round, RED-first Go test per case; openat2(RESOLVE_BENEATH) with a unix build tag.	RED: six new tests fail on the current store. GREEN: six pass; 318-test suite unchanged except the pre-existing roster failure; mutations killed.	open	6 of 6 named cases rejected with the specified outcome (rc 1 or a V-G9 finding) by a test that failed before the fix		6	progress.yml minor (deferred) T008 lines	Primary category chosen by the rubric order (security first: the parent-directory swap).
G-improvement-candidates-04	Evidence argv policy misses percent-encoded keys and five credential-name shapes (T014 N1, N2)	Task	medium	security	improvement	improvement-candidates	umbrella (vasic) evidence chain adapter (argvpolicy)	2	candidate:specs/010-zero-gap-verified-closure/progress.yml:51 ; candidate:specs/010-zero-gap-verified-closure/progress.yml:52	normalizeArg/redactURL do not decode %HH, and the name list lacks auth/creds/pat/NPM_AUTH/X-Auth shapes, so such values reach the (git-ignored) evidence chain unredacted.	Decode %HH before matching; add the segments or list them explicitly under NOT caught.	RED: planted argv with ?%74oken=X and each of the 5 shapes recorded unredacted. GREEN: refused or redacted; canary credential never on disk.	open	6 of 6 planted argv shapes refused or redacted (or each listed under NOT caught with a reason)		2		
G-improvement-candidates-05	Exempt registry row fact_sha256 covers only the adapter script, not argvpolicy.go (T014 N5)	Task	medium	false-evidence	improvement	improvement-candidates	umbrella (vasic) evidence chain adapter	1	candidate:specs/010-zero-gap-verified-closure/progress.yml:55	A change to argvpolicy.go is not seen as drift by the exempt row, so the exemption can outlive the code it describes.	Hash every file the exemption covers.	RED: editing argvpolicy.go in a disposable copy leaves the row valid. GREEN: the row reports drift.	open	a planted edit of argvpolicy.go is reported as drift (1 of 1 mutation caught)		1		
G-improvement-candidates-06	--build-bins pointed at the module directory leaves an un-ignored zg-chain binary (T014 N4)	Task	low	other	improvement	improvement-candidates	umbrella (vasic) evidence chain tooling	1	candidate:specs/010-zero-gap-verified-closure/progress.yml:54	The binary lands in a tracked directory with no ignore rule; the commit wrapper runs git add ., so it can be committed (§11.4.30).	Refuse a --build-bins inside the tree or add the ignore rule.	RED: after --build-bins <module dir>, git status --porcelain lists the binary. GREEN: empty.	open	0 untracked-not-ignored files after --build-bins at the module directory		1		
G-improvement-candidates-07	Two register items say BLOCKED in their titles but sit at status Queued (VSC-285, WSP-151)	Task	medium	governance-drift	weak-spot	improvement-candidates	umbrella register docs/workable_items.db	2	candidate:docs/workable_items.db:VSC-285 ; candidate:docs/workable_items.db:WSP-151	Blocked state lives in the title, not in status (§11.4.148 D3 rewrites BLOCKED to Operator-blocked); the register holds 0 Operator-blocked items, so known-open-decisions (which reads Operator-blocked items) cannot see them.	Move both to Operator-blocked with operator_block_details (options + cost, FR-009): VSC-285 needs an operator credential, WSP-151 an operator decision. Use a writer that keeps gap columns (the canonical close wipes them; sync/move UNCONFIRMED).	RED: validator/KOD see 0 Operator-blocked items while titles say BLOCKED. GREEN: both at Operator-blocked with V-G11 details; KOD reports them only if details are missing.	open (the status fix is agent work); after it, each item is classified: VSC-285 operator-action, WSP-151 operator-decision			2	docs/workable_items.db:VSC-285, docs/workable_items.db:WSP-151 (KOD/IC dedupe key)	
G-improvement-candidates-08	Adopt 15 pre-existing Queued register items that carry no measurable target	Task	low	other	unfinished-promise	improvement-candidates	umbrella register (VSC-070/078/079/125/293/300/301, WSP-028/042/054/060/062/066/068/125)	15	candidate:docs/workable_items.db:VSC-070 ; candidate:docs/workable_items.db:WSP-028 ; candidate:docs/workable_items.db:WSP-125	Items from features 001/002/004/005 are Queued as PARTIAL / NOT BUILT / UNWRITTEN with no measurable target (14 MISSING; WSP-042 has a derived floor >=20).	Do NOT gap add new ids: backfill kind, category, plan_due and a measurable target on each existing atm id (FR-025), re-judge severity per item; then each item follows the closure rules on its own id.	RED: IC reports 15 rows with target MISSING (1 with a derived target). GREEN: validate V-G1/V-G4/V-G10 rc 0 on the 15 ids; IC reports none as MISSING.	open (adoption batch; the G-id is a seeding action, not a register row)	15 of 15 adopted items carry a non-empty measurable_target and a plan_due date		15	keys docs/workable_items.db:<atm> (one register item each)	Titles are not copied here; read them from the register.
