# constitution-gate-ledger.tsv — the expected-gate baseline for
# scripts/verify-all-constitution-rules.sh (§11.4.32).
#
# GENERATED, never hand-written. Regenerate deliberately with:
#     bash scripts/verify-all-constitution-rules.sh --update-ledger
# and review the resulting git diff: that diff IS the record that a
# population change was intended. A gate that disappears without one is
# a DROP, and the sweep fails on it.
#
# TAB-separated. Field 1 is the row type, from a closed vocabulary:
#     pin    <constitution HEAD sha, or 'unknown' if not a git work tree>
#     gate   <path relative to submodules/constitution/scripts/gates/>
# An unrecognised field-1 token is a MALFORMED ledger and is reported as
# could-not-determine — never as a pass.
#
# The pin is recorded because the gate population is a function of it:
# at an UNCHANGED pin a missing gate vanished; at a CHANGED pin git is
# asked whether the missing path is still tracked, which separates an
# upstream removal from a local deletion.
pin	3be10826f3d236edcdb62b7cba81cda4e6d0d47a
gate	cm_covenant_114_192_propagation.sh
gate	cm_covenant_114_193_propagation_mutation_test.sh
gate	cm_covenant_114_193_propagation.sh
gate	cm_covenant_114_195_propagation_mutation_test.sh
gate	cm_covenant_114_195_propagation.sh
gate	cm_covenant_114_196_propagation_mutation_test.sh
gate	cm_covenant_114_196_propagation.sh
gate	cm_covenant_114_197_propagation_mutation_test.sh
gate	cm_covenant_114_197_propagation.sh
gate	cm_covenant_114_198_propagation_mutation_test.sh
gate	cm_covenant_114_198_propagation.sh
gate	cm_covenant_114_199_propagation_mutation_test.sh
gate	cm_covenant_114_199_propagation.sh
gate	cm_covenant_114_200_propagation_mutation_test.sh
gate	cm_covenant_114_200_propagation.sh
gate	cm_covenant_114_201_propagation_mutation_test.sh
gate	cm_covenant_114_201_propagation.sh
gate	cm_covenant_114_202_propagation_mutation_test.sh
gate	cm_covenant_114_202_propagation.sh
gate	cm_covenant_114_207_propagation_mutation_test.sh
gate	cm_covenant_114_207_propagation.sh
gate	cm_covenant_114_208_propagation_mutation_test.sh
gate	cm_covenant_114_208_propagation.sh
gate	cm_covenant_114_209_propagation_mutation_test.sh
gate	cm_covenant_114_209_propagation.sh
gate	cm_covenant_114_210_propagation_mutation_test.sh
gate	cm_covenant_114_210_propagation.sh
gate	cm_covenant_114_211_propagation_mutation_test.sh
gate	cm_covenant_114_211_propagation.sh
gate	cm_covenant_114_212_propagation_mutation_test.sh
gate	cm_covenant_114_212_propagation.sh
gate	cm_covenant_114_213_propagation_mutation_test.sh
gate	cm_covenant_114_213_propagation.sh
gate	cm_covenant_114_214_propagation_mutation_test.sh
gate	cm_covenant_114_214_propagation.sh
gate	cm_covenant_114_215_propagation_mutation_test.sh
gate	cm_covenant_114_215_propagation.sh
gate	cm_covenant_114_216_propagation_mutation_test.sh
gate	cm_covenant_114_216_propagation.sh
gate	cm_covenant_114_217_propagation_mutation_test.sh
gate	cm_covenant_114_217_propagation.sh
gate	cm_covenant_114_218_propagation_mutation_test.sh
gate	cm_covenant_114_218_propagation.sh
gate	cm_covenant_114_219_propagation_mutation_test.sh
gate	cm_covenant_114_219_propagation.sh
gate	cm_covenant_114_220_propagation_mutation_test.sh
gate	cm_covenant_114_220_propagation.sh
gate	cm_covenant_114_221_propagation_mutation_test.sh
gate	cm_covenant_114_221_propagation.sh
gate	cm_covenant_114_222_propagation_mutation_test.sh
gate	cm_covenant_114_222_propagation.sh
gate	cm_covenant_114_223_propagation_mutation_test.sh
gate	cm_covenant_114_223_propagation.sh
gate	cm_covenant_114_224_propagation_mutation_test.sh
gate	cm_covenant_114_224_propagation.sh
gate	cm_covenant_114_225_propagation_mutation_test.sh
gate	cm_covenant_114_225_propagation.sh
gate	cm_covenant_114_226_propagation_mutation_test.sh
gate	cm_covenant_114_226_propagation.sh
gate	cm_covenant_114_227_propagation_mutation_test.sh
gate	cm_covenant_114_227_propagation.sh
gate	cm_covenant_114_228_propagation_mutation_test.sh
gate	cm_covenant_114_228_propagation.sh
gate	cm_covenant_114_229_propagation_mutation_test.sh
gate	cm_covenant_114_229_propagation.sh
gate	cm_covenant_114_230_propagation_mutation_test.sh
gate	cm_covenant_114_230_propagation.sh
gate	cm_covenant_114_231_propagation_mutation_test.sh
gate	cm_covenant_114_231_propagation.sh
gate	cm_covenant_114_232_propagation_mutation_test.sh
gate	cm_covenant_114_232_propagation.sh
gate	cm_covenant_114_233_propagation_mutation_test.sh
gate	cm_covenant_114_233_propagation.sh
gate	cm_covenant_114_234_propagation_mutation_test.sh
gate	cm_covenant_114_234_propagation.sh
gate	cm_covenant_114_235_propagation_mutation_test.sh
gate	cm_covenant_114_235_propagation.sh
gate	cm_covenant_114_236_propagation_mutation_test.sh
gate	cm_covenant_114_236_propagation.sh
gate	cm_covenant_114_237_propagation_mutation_test.sh
gate	cm_covenant_114_237_propagation.sh
gate	cm_covenant_114_238_propagation_mutation_test.sh
gate	cm_covenant_114_238_propagation.sh
gate	cm_covenant_114_239_propagation_mutation_test.sh
gate	cm_covenant_114_239_propagation.sh
gate	cm_covenant_114_240_propagation_mutation_test.sh
gate	cm_covenant_114_240_propagation.sh
gate	cm_covenant_114_241_propagation_mutation_test.sh
gate	cm_covenant_114_241_propagation.sh
gate	cm_covenant_114_242_propagation_mutation_test.sh
gate	cm_covenant_114_242_propagation.sh
gate	cm_covenant_114_243_propagation_mutation_test.sh
gate	cm_covenant_114_243_propagation.sh
gate	cm_covenant_114_244_propagation_mutation_test.sh
gate	cm_covenant_114_244_propagation.sh
gate	cm_covenant_114_245_propagation_mutation_test.sh
gate	cm_covenant_114_245_propagation.sh
gate	cm_covenant_114_246_propagation_mutation_test.sh
gate	cm_covenant_114_246_propagation.sh
gate	cm_covenant_114_247_propagation_mutation_test.sh
gate	cm_covenant_114_247_propagation.sh
gate	cm_covenant_114_248_propagation_mutation_test.sh
gate	cm_covenant_114_248_propagation.sh
gate	cm_covenant_114_249_propagation_mutation_test.sh
gate	cm_covenant_114_249_propagation.sh
gate	cm_covenant_114_250_propagation_mutation_test.sh
gate	cm_covenant_114_250_propagation.sh
gate	cm_covenant_114_251_propagation_mutation_test.sh
gate	cm_covenant_114_251_propagation.sh
gate	cm_covenant_114_252_propagation_mutation_test.sh
gate	cm_covenant_114_252_propagation.sh
gate	cm_covenant_114_253_propagation_mutation_test.sh
gate	cm_covenant_114_253_propagation.sh
gate	cm_covenant_114_254_propagation_mutation_test.sh
gate	cm_covenant_114_254_propagation.sh
gate	cm_covenant_114_255_propagation_mutation_test.sh
gate	cm_covenant_114_255_propagation.sh
gate	cm_covenant_114_256_propagation_mutation_test.sh
gate	cm_covenant_114_256_propagation.sh
gate	cm_covenant_114_257_propagation_mutation_test.sh
gate	cm_covenant_114_257_propagation.sh
gate	cm_covenant_114_258_propagation_mutation_test.sh
gate	cm_covenant_114_258_propagation.sh
gate	cm_covenant_114_259_propagation_mutation_test.sh
gate	cm_covenant_114_259_propagation.sh
gate	cm_covenant_114_260_propagation_mutation_test.sh
gate	cm_covenant_114_260_propagation.sh
gate	cm_covenant_114_261_propagation_mutation_test.sh
gate	cm_covenant_114_261_propagation.sh
gate	cm_covenant_114_262_propagation_mutation_test.sh
gate	cm_covenant_114_262_propagation.sh
gate	cm_covenant_114_263_propagation_mutation_test.sh
gate	cm_covenant_114_263_propagation.sh
gate	cm_covenant_114_264_propagation_mutation_test.sh
gate	cm_covenant_114_264_propagation.sh
gate	cm_covenant_114_265_propagation_mutation_test.sh
gate	cm_covenant_114_265_propagation.sh
gate	cm_covenant_114_266_propagation_mutation_test.sh
gate	cm_covenant_114_266_propagation.sh
gate	cm_covenant_114_267_propagation_mutation_test.sh
gate	cm_covenant_114_267_propagation.sh
gate	cm_covenant_114_268_propagation_mutation_test.sh
gate	cm_covenant_114_268_propagation.sh
gate	cm_covenant_114_269_propagation_mutation_test.sh
gate	cm_covenant_114_269_propagation.sh
gate	cm_covenant_114_270_propagation_mutation_test.sh
gate	cm_covenant_114_270_propagation.sh
gate	cm_covenant_114_271_propagation_mutation_test.sh
gate	cm_covenant_114_271_propagation.sh
gate	cm_covenant_114_27_propagation_mutation_test.sh
gate	cm_covenant_114_27_propagation.sh
gate	cm_dangerous_combination_fail_closed_mutation_test.sh
gate	cm_dangerous_combination_fail_closed.sh
gate	cm_dependency_adoption_admitted_mutation_test.sh
gate	cm_dependency_adoption_admitted.sh
gate	cm_dependency_register_verdicts_mutation_test.sh
gate	cm_dependency_register_verdicts.sh
gate	cm_diagram_embedded_not_orphan_mutation_test.sh
gate	cm_diagram_embedded_not_orphan.sh
gate	cm_escape_ratchet_selftest.sh
gate	cm_escape_ratchet.sh
gate	cm_every_finding_closed_or_tracked_mutation_test.sh
gate	cm_every_finding_closed_or_tracked.sh
gate	cm_evidence_analyzer_self_validated_mutation_test.sh
gate	cm_evidence_analyzer_self_validated.sh
gate	cm_faq_from_real_questions_mutation_test.sh
gate	cm_faq_from_real_questions.sh
gate	cm_feature_directive_mutation_test.sh
gate	cm_feature_directive.sh
gate	cm_first_refusal_observed_mutation_test.sh
gate	cm_first_refusal_observed.sh
gate	cm_gate_ledger_ratchet_mutation_test.sh
gate	cm_gate_ledger_ratchet.sh
gate	cm_git_hooks_installed_mutation_test.sh
gate	cm_git_hooks_installed.sh
gate	cm_guide_per_user_workflow_mutation_test.sh
gate	cm_guide_per_user_workflow.sh
gate	cm_healthcheck_covers_served_ports_mutation_test.sh
gate	cm_healthcheck_covers_served_ports.sh
gate	cm_instrument_trap_scan_mutation_test.sh
gate	cm_instrument_trap_scan.sh
gate	cm_killpg_pgid_guard_mutation_test.sh
gate	cm_killpg_pgid_guard.sh
gate	cm_ledger_row_typed_from_closed_vocabulary_mutation_test.sh
gate	cm_ledger_row_typed_from_closed_vocabulary.sh
gate	cm_machine_evidence_at_every_gate_mutation_test.sh
gate	cm_machine_evidence_at_every_gate.sh
gate	cm_mechanism_observed_refusing_mutation_test.sh
gate	cm_mechanism_observed_refusing.sh
gate	cm_multitrack_engine_in_constitution_mutation_test.sh
gate	cm_multitrack_engine_in_constitution.sh
gate	cm_mutation_score_on_diff_mutation_test.sh
gate	cm_mutation_score_on_diff.sh
gate	cm_no_narrative_only_pass_mutation_test.sh
gate	cm_no_narrative_only_pass.sh
gate	cm_opendesign_ui_system_mutation_test.sh
gate	cm_opendesign_ui_system.sh
gate	cm_oracle_strategy_named_and_independent_mutation_test.sh
gate	cm_oracle_strategy_named_and_independent.sh
gate	cm_readme_badge_row_at_top_mutation_test.sh
gate	cm_readme_badge_row_at_top.sh
gate	cm_reporting_directives_mutation_test.sh
gate	cm_reporting_directives.sh
gate	cm_rule_binds_to_seam_mutation_test.sh
gate	cm_rule_binds_to_seam.sh
gate	cm_subsystem_shortcuts_mutation_test.sh
gate	cm_subsystem_shortcuts.sh
gate	cm_test_mock_pid_explicit_int_mutation_test.sh
gate	cm_test_mock_pid_explicit_int.sh
gate	cm_track_branch_label_mutation_test.sh
gate	cm_track_branch_label.sh
gate	cm_unchallenged_capability_blocks_release_mutation_test.sh
gate	cm_unchallenged_capability_blocks_release.sh
gate	cm_unreferenced_gate_bound_or_retired_mutation_test.sh
gate	cm_unreferenced_gate_bound_or_retired.sh
gate	cm_user_manual_per_component_mutation_test.sh
gate	cm_user_manual_per_component.sh
gate	cm_version_increment_on_deploy_mutation_test.sh
gate	cm_version_increment_on_deploy.sh
gate	cm_zero_findings_audit_sweep_mutation_test.sh
gate	cm_zero_findings_audit_sweep.sh
gate	cm_zero_findings_monotone_ratchet_mutation_test.sh
gate	cm_zero_findings_monotone_ratchet.sh
gate	gate_ledger.sh
gate	lib/chain_control_needle.sh
gate	lib/control_needle.sh
gate	lib/dependency_register.sh
gate	lib/execution_record.sh
gate	lib/independence_tier.sh
gate	lib/instrument_trap_scan.sh
gate	lib/pointer_carrier.sh
gate	lib/seam_tier_table.sh
gate	test_wiring_sweep_precondition.sh
