id	title	severity	category	kind	type_D3	module	location_count	sample_locations	root_cause	proposed_fix	proposed_verification	disposition_proposal	classification_owner	plan_due_or_recheck	measurable_target	blocked_on	composes_with	source_rows	hand_verified
G-private-in-public-04	credential scanning covers only feature 010's own records: 105 older spec files and the rest of the public tree are never scanned; within spec 007 the detector matches 1 of 15 lines	high	security	weak-spot	Task	umbrella (vasic) sweep population docs/zero-gap/sweep-classes.tsv (private-in-public row)	1	docs/zero-gap/sweep-classes.tsv (private-in-public population, INSPECTED 34 live); specs/002..009 (105 text files, 39 binary PDFs CNI in the sample run); specs/007-decouple-modules-auth/*.md (14 undetected lines)	the class's population is 'every public record the programme produces', so pre-existing public text is outside every credential check in the sweep; the adjacency/value patterns need a password marker shape the other 14 lines do not carry	add a sweep class (or widen this one) that runs the credential layer over every tracked text file of every public owned repository, and extend the value-pattern layer to the 'user (password: X)' and table shapes; planted placeholders only	RED: on a scratch copy of specs/007 the class reports 1 of 15 lines (measured 2026-09-26). GREEN: 15 of 15; whole-public-tree population printed with INSPECTED == POPULATION and binary files listed CNI	open	umbrella (agent)	plan_due 2026-10-03			G-private-in-public-03	0 (population gap; measured this session)	live run INSPECTED 34; sample run INSPECTED 105 + 39 binary CNI; 1 credential finding vs 15 lines
G-content-boundary-rows-01	content-boundary re-baseline decision: 14621 surviving gate rows over 121 public path classes await an operator choice (options 1-4 of the CLAUDE.md decision packet)	high	content-boundary	danger-zone	Bug	umbrella (vasic) scripts/verify-content-boundary.sh + all public owned repos	186	CLAUDE.md 'Content-boundary re-baseline — the decision packet'; docs/content-boundary.md; specs/010-zero-gap-verified-closure/baseline/sweep-2026-09-26/content-boundary-rows-50470448.txt	the gate detects co-occurrence (direction only for prose/short); judging a row requires reading private material, which is operator work; the packet's options: 1 do nothing (signal keeps growing), 2 allow-list classes B and C (hides rows from the next reader, pardons name rows with them), 3 teach the gate direction (SHIPPED 2026-09-09), 4 judge the surviving rows (largest cost, the only option that can find a new disclosure). The zero-gap class reads the gate's cache: on the live tree it reports rc 2 'cache stale: 71 enumerated file(s) differ' (measured 2026-09-26) until the one-time refresh (~34 min, ~760 MB) is re-run on a quiet tree	operator picks an option (the packet recommends 4 over the surviving population, then 2 only for what survives); agent prepares per-group reading packets (paths, counts, private source by path) and runs the cache refresh on a frozen copy	RED: the 186 rows of content-boundary-rows-50470448.txt (point-in-time, copy 50470448d594). GREEN per the chosen option: a fresh cache refresh on a quiet tree (gate rc recorded, default parameters) followed by the class run showing this group's rows either judged-and-remedied (row gone, redaction evidence) or carried by a declared operator decision record; never 'cleared' without a judgement	classified: operator-decision	operator	recheck 2026-10-03		operator decision among options 1 (cost: signal keeps degrading), 2 (cost: hides rows, pardons name rows), 4 (cost: largest reading effort over private material)	G-content-boundary-rows-02..09	0 direct (parent of the 186 rows grouped in -02..-08)	live class run rc 2 cache stale (71 files); 186 rows sum to 14621 = cache counts.leaks
G-content-boundary-rows-02	content-boundary group A: spec trees in the public umbrella (specs/**)	high	content-boundary	danger-zone	Bug	umbrella specs/**	22	specs/002-knowledge-areas-deep-linking:prose (2867); specs/001-workshop-curriculum-platform:prose (2111); specs/006-session-record-and-qa-readiness:prose (1852)	9268 surviving unjudged gate rows (2 name-class rows) under 22 path classes; private source by path: workshop 9246, monetization 22. Packet class A: text-level direction probe (2026-09-03) found about 4 in 5 rows outward and about 1 in 5 inward; the gate's direction subtraction has already removed provably public-first rows, so these are what survived it. no row was judged; nothing here clears a row	per the operator's option on G-content-boundary-rows-01: read and judge each row in this group (redact real disclosures in the public file, record a reasoned judgement for the rest); allow-listing is option 2 and hides the row	RED: the 186 rows of content-boundary-rows-50470448.txt (point-in-time, copy 50470448d594). GREEN per the chosen option: a fresh cache refresh on a quiet tree (gate rc recorded, default parameters) followed by the class run showing this group's rows either judged-and-remedied (row gone, redaction evidence) or carried by a declared operator decision record; never 'cleared' without a judgement	classified: operator-decision	operator	recheck 2026-10-03		G-content-boundary-rows-01 (operator decision); reading private material is operator work	G-content-boundary-rows-01	22	3 path classes tracked in the public umbrella: specs/002 28 files, specs/001 48, specs/006 30
G-content-boundary-rows-03	content-boundary group B: public reusable modules (submodules/** except the constitution, design-toolkit)	high	content-boundary	danger-zone	Bug	submodules/qa, llms_verifier, RAG, passage, authkit, security, curriculum-kit, containers; design-toolkit	43	submodules/qa/banks/workshop:prose (517); submodules/passage/pkg/passage:prose (41); submodules/RAG/docs:name (24)	779 surviving unjudged gate rows (16 name-class rows) under 43 path classes; private source by path: workshop 744, ai_interviewing 35. Packet class B (public reusables extracted from the private tree); remedy lands in each module's own repo and returns as a gitlink bump. 16 of the 43 rows are name-class, so this group cannot be pardoned wholesale. no row was judged; nothing here clears a row	per the operator's option on G-content-boundary-rows-01: read and judge each row in this group (redact real disclosures in the public file, record a reasoned judgement for the rest); allow-listing is option 2 and hides the row	RED: the 186 rows of content-boundary-rows-50470448.txt (point-in-time, copy 50470448d594). GREEN per the chosen option: a fresh cache refresh on a quiet tree (gate rc recorded, default parameters) followed by the class run showing this group's rows either judged-and-remedied (row gone, redaction evidence) or carried by a declared operator decision record; never 'cleared' without a judgement	classified: operator-decision	operator	recheck 2026-10-03		G-content-boundary-rows-01 (operator decision); reading private material is operator work	G-content-boundary-rows-01	43	qa/banks/workshop 11 tracked, passage/pkg/passage 12, RAG/docs 10; HelixDevelopment/qa, vasic-digital/passage, vasic-digital/RAG visibility public (gh api)
G-content-boundary-rows-04	content-boundary group C: governance prose in the umbrella (docs, scripts, carriers, manifests, allow files)	high	content-boundary	danger-zone	Bug	umbrella docs/**, scripts/**, CLAUDE/AGENTS/QWEN/GEMINI.md, Constitution.md, README.md, helix-deps.yaml, three allow files	45	docs:prose (655); scripts:prose (280); scripts:short (159)	1912 surviving unjudged gate rows (2 name-class rows) under 45 path classes; private source by path: workshop 1816 + monetization 122 + ai_interviewing 42 (sum over the group incl. -05 is 1980; this group alone 1912). Packet class C (governance prose that propagated outward, file-level sampled direction evidence). no row was judged; nothing here clears a row	per the operator's option on G-content-boundary-rows-01: read and judge each row in this group (redact real disclosures in the public file, record a reasoned judgement for the rest); allow-listing is option 2 and hides the row	RED: the 186 rows of content-boundary-rows-50470448.txt (point-in-time, copy 50470448d594). GREEN per the chosen option: a fresh cache refresh on a quiet tree (gate rc recorded, default parameters) followed by the class run showing this group's rows either judged-and-remedied (row gone, redaction evidence) or carried by a declared operator decision record; never 'cleared' without a judgement	classified: operator-decision	operator	recheck 2026-10-03		G-content-boundary-rows-01 (operator decision); reading private material is operator work	G-content-boundary-rows-01	45	docs 213 tracked, scripts 66, CLAUDE.md tracked; umbrella visibility public
G-content-boundary-rows-05	content-boundary group C (upstream part): rows inside the constitution submodule	high	content-boundary	danger-zone	Bug	submodules/constitution (governance source, not owned here)	6	submodules/constitution/docs/research:fingerprint (48); submodules/constitution/scripts/mechanical:short (8); submodules/constitution/scripts/multitrack:fingerprint (6)	68 surviving unjudged gate rows (0 name-class rows) under 6 path classes; private source by path: counted with group C. The constitution is upstream (data-model: third-party includes the governance source); this repository never commits into it (FR-021) — the reporting route is HelixDevelopment/HelixConstitution. no row was judged; nothing here clears a row	per the operator's option on G-content-boundary-rows-01: read and judge each row in this group (redact real disclosures in the public file, record a reasoned judgement for the rest); allow-listing is option 2 and hides the row	RED: the 186 rows of content-boundary-rows-50470448.txt (point-in-time, copy 50470448d594). GREEN per the chosen option: a fresh cache refresh on a quiet tree (gate rc recorded, default parameters) followed by the class run showing this group's rows either judged-and-remedied (row gone, redaction evidence) or carried by a declared operator decision record; never 'cleared' without a judgement	classified: third-party (report upstream; judging still waits on -01)	operator (upstream HelixConstitution)	recheck 2026-10-03		G-content-boundary-rows-01 (operator decision); reading private material is operator work	G-content-boundary-rows-01	6	6 path classes listed from the snapshot; submodule is the governance source
G-content-boundary-rows-06	content-boundary group E: rendered exports (PDF/HTML) of governance documents	high	content-boundary	danger-zone	Bug	umbrella CONTINUATION.pdf, AGENTS/CLAUDE/GEMINI/QWEN .pdf and .html, README .pdf/.html, Constitution .pdf/.html	32	CONTINUATION.pdf:prose (850); QWEN.pdf:prose (67); GEMINI.pdf:prose (67)	1239 surviving unjudged gate rows (0 name-class rows) under 32 path classes; private source by path: workshop 1167, monetization 58, ai_interviewing 14. Exports carry the text of their Markdown source, so their judgement follows the source rows and the fix includes re-export. CONTINUATION.md itself carries no row while CONTINUATION.pdf carries 902: that the PDF export is older than the Markdown is UNCONFIRMED (not measured). no row was judged; nothing here clears a row	per the operator's option on G-content-boundary-rows-01: read and judge each row in this group (redact real disclosures in the public file, record a reasoned judgement for the rest); allow-listing is option 2 and hides the row	RED: the 186 rows of content-boundary-rows-50470448.txt (point-in-time, copy 50470448d594). GREEN per the chosen option: a fresh cache refresh on a quiet tree (gate rc recorded, default parameters) followed by the class run showing this group's rows either judged-and-remedied (row gone, redaction evidence) or carried by a declared operator decision record; never 'cleared' without a judgement	classified: operator-decision	operator	recheck 2026-10-03		G-content-boundary-rows-01 (operator decision); reading private material is operator work	G-content-boundary-rows-01	32	CONTINUATION.pdf, QWEN.pdf, GEMINI.pdf each tracked (1 file)
G-content-boundary-rows-07	content-boundary group S: public site content — one name-class row in each of 11 localized product page sets	high	content-boundary	danger-zone	Bug	umbrella _content/products and _content_{be,de,es,fr,hi,kk,ko,ru,sr,tr}/products (source of the public sites)	11	_content/products:name (1); _content_de/products:name (1); _content_ru/products:name (1)	11 surviving unjudged gate rows (11 name-class rows) under 11 path classes; private source by path: ai_interviewing 11. Every row is name-class and every row sits in content the production sites are generated from; the gate withholds the identifier. Read these first. no row was judged; nothing here clears a row	per the operator's option on G-content-boundary-rows-01: read and judge each row in this group (redact real disclosures in the public file, record a reasoned judgement for the rest); allow-listing is option 2 and hides the row	RED: the 186 rows of content-boundary-rows-50470448.txt (point-in-time, copy 50470448d594). GREEN per the chosen option: a fresh cache refresh on a quiet tree (gate rc recorded, default parameters) followed by the class run showing this group's rows either judged-and-remedied (row gone, redaction evidence) or carried by a declared operator decision record; never 'cleared' without a judgement	classified: operator-decision	operator	recheck 2026-10-03		G-content-boundary-rows-01 (operator decision); reading private material is operator work	G-content-boundary-rows-01	11	_content/products, _content_de/products, _content_ru/products 99 tracked files each
G-content-boundary-rows-08	content-boundary remainder: tooling, evidence and spec-kit files (.specify, _tools, _tests, _analysis, .ashlrcode, .claude, design-system)	high	content-boundary	danger-zone	Bug	umbrella .specify/**, _tools/**, _tests/**, _analysis/**, .ashlrcode/**, .claude/**, design-system/**	27	.specify/memory:prose (992); _analysis:fingerprint (73); _tests/evidence:fingerprint (56)	1344 surviving unjudged gate rows (4 name-class rows) under 27 path classes; private source by path: monetization 1092, workshop 233, ai_interviewing 19. Packet 'remainder — genuinely unassessed' (no direction probe run on it). no row was judged; nothing here clears a row	per the operator's option on G-content-boundary-rows-01: read and judge each row in this group (redact real disclosures in the public file, record a reasoned judgement for the rest); allow-listing is option 2 and hides the row	RED: the 186 rows of content-boundary-rows-50470448.txt (point-in-time, copy 50470448d594). GREEN per the chosen option: a fresh cache refresh on a quiet tree (gate rc recorded, default parameters) followed by the class run showing this group's rows either judged-and-remedied (row gone, redaction evidence) or carried by a declared operator decision record; never 'cleared' without a judgement	classified: operator-decision	operator	recheck 2026-10-03		G-content-boundary-rows-01 (operator decision); reading private material is operator work	G-content-boundary-rows-01	27	.specify/memory 4 tracked, _analysis 193, _tests/evidence 4598
G-content-boundary-rows-09	content-boundary gate left 137 files unindexed and 3 rows undetermined: those parts were never read	medium	content-boundary	weak-spot	Task	umbrella (vasic) scripts/verify-content-boundary.sh	2	content-boundary-rows:gate:scripts/verify-content-boundary.sh (137 not indexed); content-boundary-rows:gate:scripts/verify-content-boundary.sh (3 undetermined)	the gate skips files over its size cap or machine-generated (counts.not_indexed=137) and emits 3 undetermined rows; the class registers surviving rows only, so these parts are COULD-NOT-INSPECT, never clean	list the 137 files by path class; decide per class whether to index (raise the cap, chunk) or declare them out of population with a recorded reason	RED: cache counts.not_indexed=137, undetermined=3 at copy 50470448. GREEN: a refreshed cache with not_indexed=0 or every remaining file listed with a declared reason, undetermined=0	open	umbrella (agent)	plan_due 2026-10-10		cache refresh on a quiet tree	G-content-boundary-rows-01	0 (the class's 2 COULD-NOT-INSPECT lines, not finding rows)	CNI lines read in content-boundary-rows-50470448.txt
